,train_F1,train_acc,val_F1,val_acc,test_F1,test_acc
0,1.0,1.0,0.85,0.8636363636363636,0.8394495412844037,0.8464912280701754
1,1.0,1.0,0.8717948717948718,0.8863636363636364,0.775609756097561,0.7982456140350878
2,1.0,1.0,0.85,0.8636363636363636,0.8597285067873303,0.8640350877192983
3,1.0,1.0,0.8780487804878049,0.8863636363636364,0.8302752293577983,0.8377192982456141
4,1.0,1.0,0.85,0.8636363636363636,0.8038277511961722,0.8201754385964912
5,1.0,1.0,0.85,0.8636363636363636,0.8251748251748251,0.8355263157894737
6,1.0,1.0,0.8717948717948718,0.8863636363636364,0.8224299065420562,0.8333333333333334
7,1.0,1.0,0.8292682926829269,0.8409090909090909,0.8133971291866029,0.8289473684210527
8,1.0,1.0,0.8780487804878049,0.8863636363636364,0.8076009501187649,0.8223684210526315
9,1.0,1.0,0.8292682926829269,0.8409090909090909,0.8076009501187649,0.8223684210526315
